District,LB_Type,LB_Code,LB_Name,Ward_No,Ward_Name,Candidate_Code,Candidate_Name,Party,Votes,Status
Thrissur,Block Panchayat,B08078,Wadakkanchery ,010,KUNDANNUR,3,??.??.???,CPI(M),2824,Won
Thrissur,Block Panchayat,B08078,Wadakkanchery ,010,KUNDANNUR,1,????????????? ????,INC,2388,Won
Thrissur,Block Panchayat,B08078,Wadakkanchery ,010,KUNDANNUR,2,?????? ???????,BJP,1545,Won
Thrissur,Block Panchayat,B08078,Wadakkanchery ,011,MANGAD,3,??????,CPI(M),2770,Won
Thrissur,Block Panchayat,B08078,Wadakkanchery ,011,MANGAD,1,???? ?? ????,INC,2358,Won
Thrissur,Block Panchayat,B08078,Wadakkanchery ,011,MANGAD,2,?????? ?????????,BJP,1190,Won
Thrissur,Block Panchayat,B08078,Wadakkanchery ,012,ERUMAPETTY,3,???? ???,INC,3168,Won
Thrissur,Block Panchayat,B08078,Wadakkanchery ,012,ERUMAPETTY,4,???? ????,CPI(M),2398,Won
Thrissur,Block Panchayat,B08078,Wadakkanchery ,012,ERUMAPETTY,2,???? ????????,BJP,692,Won
Thrissur,Block Panchayat,B08078,Wadakkanchery ,012,ERUMAPETTY,1,???????? ?? ?,IND,227,Won
Thrissur,Block Panchayat,B08078,Wadakkanchery ,013,THALI,1,???? ????,IND,2084,Won
Thrissur,Block Panchayat,B08078,Wadakkanchery ,013,THALI,4,??.?.???????????,CPI(M),2053,Won
Thrissur,Block Panchayat,B08078,Wadakkanchery ,013,THALI,3,??????? ??,BJP,817,Won
Thrissur,Block Panchayat,B08078,Wadakkanchery ,013,THALI,2,????????,IND,307,Won
Thrissur,Block Panchayat,B08078,Wadakkanchery ,014,THALASSERY,3,??? ??????,IUML,2789,Won
Thrissur,Block Panchayat,B08078,Wadakkanchery ,014,THALASSERY,1,???????.??.??.,CPI(M),2742,Won
Thrissur,Block Panchayat,B08078,Wadakkanchery ,014,THALASSERY,2,???,BJP,1099,Won
Thrissur,District Panchayat,D08001,THRISSUR,001,VADAKKEKADU,5,????. ????? ???????,IUML,25678,Won
Thrissur,District Panchayat,D08001,THRISSUR,001,VADAKKEKADU,4,????. ??????????? ?????????,RJD,22053,Won
Thrissur,District Panchayat,D08001,THRISSUR,001,VADAKKEKADU,3,????? ??????,BJP,9259,Won
Thrissur,District Panchayat,D08001,THRISSUR,001,VADAKKEKADU,1,????? ??????,SDPI,4453,Won
Thrissur,District Panchayat,D08001,THRISSUR,001,VADAKKEKADU,2,????????????? ??????,AAP,781,Won
Thrissur,District Panchayat,D08001,THRISSUR,002,KATTAKAMBAL,2,??. ??. ????????? ????????,CPI(M),27545,Won
Thrissur,District Panchayat,D08001,THRISSUR,002,KATTAKAMBAL,3,??. ??? ????????,INC,24832,Won
Thrissur,District Panchayat,D08001,THRISSUR,002,KATTAKAMBAL,1,?????????? ???????,BJP,9257,Won
Thrissur,District Panchayat,D08001,THRISSUR,002,KATTAKAMBAL,4,????? ?????,AAP,451,Won
